username_length,num_followers,num_following,posts_count,is_private,has_profile_pic,bio_length,avg_likes,avg_comments,account_age_days,follower_following_ratio,is_verified,engagement_rate,growth_score,username_suspicious_score,label
12,892304,532,158,0,1,96,50527,509,2278,1674.118,0,0.0572,412.26,0.8,0
8,9,2,9,1,1,21,5,1,26,3.333,0,0.6667,0.32,0.74,1
6,880303,2950,88,0,1,61,11465,259,1274,298.307,0,0.0133,587.74,0.4,0
15,276341,2268,197,0,1,136,40915,1854,302,121.79,0,0.1548,958.86,1.0,0
6,300980,975,206,0,1,195,30370,1507,3921,308.382,0,0.1059,68.3,0.4,0
6,379,124,106,1,1,16,0,0,170,3.04,0,0.0,2.08,0.4,0
9,897122,1959,187,0,1,128,71392,1225,1175,457.716,0,0.0809,839.13,0.6,0
20,16,9,2,0,0,20,5,2,26,1.7,0,0.4375,0.72,1.0,1
10,5,10,10,0,0,17,3,2,28,0.545,0,1.0,0.16,0.92,1
4,20224,79,219,1,1,91,0,0,2713,252.812,0,0.0,8.57,0.27,0
12,9326,67,66,1,1,105,0,0,2431,137.162,0,0.0,3.94,0.8,0
16,6,5,10,0,1,2,3,0,69,1.167,0,0.5,0.1,1.0,1
10,432573,2643,230,0,1,102,49665,921,2792,163.606,0,0.1169,171.4,0.67,0
7,539091,1333,169,0,1,136,91819,1306,2984,404.117,0,0.1727,153.93,0.47,0
11,19,6,5,0,1,44,1,2,43,2.857,0,0.1579,0.53,0.92,1
6,558355,935,236,0,1,198,45322,1012,495,596.534,0,0.083,926.04,0.4,0
18,349090,2866,173,0,1,168,31379,467,1279,121.762,0,0.0912,288.7,1.0,0
16,3,20,1,0,0,50,4,2,39,0.19,0,2.0,0.08,1.0,1
13,0,29,1,0,0,20,4,1,25,0.033,0,0.0,0.0,1.0,1
19,1565732,47,125201,0,1,178,163251,945,1714,32619.438,1,0.1049,1089.4,1.0,0
14,0,21,1,0,1,24,2,2,72,0.045,0,0.0,0.0,1.0,1
17,15,21,6,1,1,48,2,2,54,0.727,0,0.2667,0.26,1.0,1
18,802775,1086,16,0,1,137,89094,911,2338,738.524,0,0.1121,395.92,1.0,0
12,457157,2614,285,0,1,68,70903,1129,652,174.821,0,0.1576,679.25,0.8,0
14,17,5,10,1,1,49,1,2,86,3.0,0,0.1765,0.19,1.0,1
9,10,21,1,0,0,9,5,0,12,0.5,0,0.5,0.91,0.83,1
5,37630774,55,331774,0,1,54,2428323,16450,824,671978.125,1,0.065,50344.14,0.33,0
8,9,29,1,1,0,7,5,2,76,0.333,0,0.7778,0.13,0.78,1
20,9,19,0,0,0,29,1,0,65,0.5,0,0.1111,0.13,1.0,1
11,29045,76,266,1,0,72,0,0,1751,377.221,0,0.0,16.52,0.73,0
9,14,1,5,0,0,19,2,1,91,7.5,0,0.2143,0.18,0.84,1
15,26498,258,277,1,1,92,0,0,461,102.313,0,0.0,60.1,1.0,0
4,454629,461,276,0,1,101,86420,3032,1079,984.048,0,0.1968,378.52,0.27,0
12,16,30,4,1,0,18,3,2,16,0.548,0,0.3125,0.96,0.95,1
19,11,1,8,0,1,3,0,1,90,6.0,0,0.0909,0.14,1.0,1
3,931366,1498,43,0,1,58,66252,1656,1448,621.326,0,0.0729,652.03,0.2,0
19,147940960,94,589180,0,1,107,16856065,226192,1773,1557273.274,1,0.1155,92930.19,1.0,0
18,7,29,0,1,1,3,3,2,66,0.267,0,0.7143,0.1,1.0,1
3,2657,75,413,1,1,80,0,0,182,34.974,0,0.0,12.9,0.2,0
13,18911,222,303,1,1,64,0,0,2470,84.807,0,0.0,7.51,0.87,0
18,9,17,7,0,0,15,1,1,84,0.556,0,0.2222,0.09,1.0,1
12,18,17,2,1,1,24,1,1,80,1.056,0,0.1111,0.26,1.0,1
9,2081,58,59,1,0,109,0,0,2113,35.288,0,0.0,0.82,0.6,0
8,178958,2310,109,0,1,188,3175,48,3326,77.438,0,0.018,44.44,0.53,0
20,20,9,1,1,1,46,5,1,14,2.1,0,0.3,1.56,1.0,1
16,491022,590,55,0,1,101,16031,235,3209,830.834,0,0.0331,125.11,1.0,0
20,18,29,0,0,0,3,0,0,96,0.633,0,0.0,0.19,1.0,1
12,23363,290,8,1,0,37,0,0,2538,80.289,0,0.0,8.3,0.8,0
16,11540,88,36,1,0,131,0,0,371,129.674,0,0.0,33.38,1.0,0
12,12,1,4,1,0,34,0,0,55,6.5,0,0.0,0.19,1.0,1
3,942355,679,220,0,1,51,33310,1207,2296,1385.818,0,0.0366,365.47,0.2,0
9,4489,35,228,1,0,106,0,0,2848,124.722,0,0.0,1.35,0.6,0
12,4933,174,90,1,1,35,0,0,419,28.194,0,0.0,9.53,0.8,0
13,507709,1605,17,0,1,191,24796,452,565,316.133,0,0.0497,772.83,0.87,0
14,1913635,63,669078,0,1,202,38161,699,849,29900.562,1,0.0203,2645.21,0.93,0
12,26205,195,434,1,0,15,0,0,2797,133.704,0,0.0,9.64,0.8,0
14,97840004,14,404621,0,1,115,8378354,77436,2917,6522667.0,1,0.0864,33733.29,0.93,0
10,14759,37,424,1,0,74,0,0,436,388.421,0,0.0,36.8,0.67,0
5,399394,2132,60,0,1,100,16515,495,2285,187.246,0,0.0426,171.85,0.33,0
15,15,12,2,1,1,9,2,2,23,1.231,0,0.2667,0.72,1.0,1
8,392543,2401,100,0,1,132,40796,1736,3193,163.424,0,0.1083,120.24,0.53,0
13,3,26,7,0,1,5,0,2,37,0.148,0,0.6667,0.07,0.98,1
7,756579,2043,233,0,1,54,98534,2624,646,370.147,0,0.1337,1150.58,0.47,0
17,807269,1298,96,0,1,109,102136,2820,2824,621.455,0,0.13,334.37,1.0,0
15,1999495,66,482419,0,1,130,212925,1102,1663,29843.224,1,0.107,1241.3,1.0,0
19,5,9,10,1,0,36,1,2,70,0.6,0,0.6,0.07,1.0,1
16,18106,199,54,1,0,150,0,0,525,90.535,0,0.0,40.53,1.0,0
15,664077,2655,172,0,1,148,32469,849,2493,250.029,0,0.0502,293.74,1.0,0
6,725350,2297,45,0,1,39,124282,1259,937,315.644,0,0.1731,693.47,0.4,0
17,861745,1416,276,0,1,80,132708,4646,598,608.148,0,0.1594,1486.54,1.0,0
16,14,20,7,0,0,31,4,0,44,0.714,0,0.2857,0.3,1.0,1
13,3,18,6,1,1,3,4,0,14,0.211,0,1.3333,0.19,0.99,1
7,10,16,8,1,0,35,4,1,21,0.647,0,0.5,0.5,0.6,1
4,2524,105,373,1,1,38,0,0,724,23.821,0,0.0,3.07,0.27,0
7,7,0,0,1,0,36,2,1,66,8.0,0,0.4286,0.11,0.64,1
7,20,18,5,0,1,34,5,1,46,1.105,0,0.3,0.39,0.76,1
16,19660,61,226,1,0,31,0,0,1816,317.113,0,0.0,12.39,1.0,0
11,910345,2439,64,0,1,196,158996,5624,1864,373.093,0,0.1808,498.32,0.73,0
15,6048,214,73,1,1,33,0,0,2703,28.135,0,0.0,1.8,1.0,0
6,4,6,10,1,0,13,2,2,19,0.714,0,1.0,0.19,0.52,1
18,3,10,7,1,1,28,3,0,47,0.364,0,1.0,0.05,1.0,1
5,19,26,10,0,0,3,4,0,52,0.741,0,0.2105,0.35,0.44,1
15,17,7,9,0,0,22,1,2,30,2.25,0,0.1765,0.65,1.0,1
5,5,3,10,0,0,50,5,1,95,1.5,0,1.2,0.06,0.54,1
16,261046,2384,101,0,1,162,39285,1596,3368,109.454,0,0.1566,79.88,1.0,0
7,2202030,99,852879,0,1,242,291613,4264,3573,22020.31,1,0.1344,509.9,0.47,0
12,20,26,5,0,0,47,0,1,80,0.778,0,0.05,0.25,0.93,1
9,189630,739,270,0,1,89,22526,1100,2607,256.258,0,0.1246,73.5,0.6,0
12,15,8,6,1,0,6,1,1,45,1.778,0,0.1333,0.27,0.91,1
18,2,4,9,0,1,7,5,1,48,0.6,0,3.0,0.05,1.0,1
13,19,4,2,0,0,46,0,2,83,4.0,0,0.1053,0.27,1.0,1
7,16,29,7,0,1,27,2,1,33,0.567,0,0.1875,0.53,0.73,1
5,359242,2232,274,0,1,177,19420,402,2886,160.879,0,0.0552,113.09,0.33,0
12,21773,297,148,1,1,83,0,0,747,73.067,0,0.0,27.86,0.8,0
9,20,1,1,1,0,43,3,0,52,10.5,0,0.15,0.32,0.84,1
15,259522,188,149,0,1,51,34459,525,3630,1373.138,0,0.1348,78.37,1.0,0
17,8501,232,245,1,0,48,0,0,2209,36.489,0,0.0,4.01,1.0,0
9,22427,167,404,1,0,110,0,0,960,133.5,0,0.0,23.79,0.6,0
12,526060,1679,258,0,1,30,33555,644,942,313.132,0,0.065,619.3,0.8,0
5,3,4,4,0,1,11,3,2,25,0.8,0,1.6667,0.11,0.54,1
6,0,27,7,1,0,47,4,2,69,0.036,0,0.0,0.0,0.54,1
12,20,21,4,1,0,41,5,0,64,0.955,0,0.25,0.34,0.9,1
5,19230,97,92,1,0,111,0,0,1878,196.235,0,0.0,11.07,0.33,0
17,17,2,5,0,0,35,5,2,17,6.0,0,0.4118,1.12,1.0,1
11,359002,2915,267,0,1,161,8148,333,3699,123.115,0,0.0236,87.67,0.73,0
16,274151,1287,169,0,1,64,37665,862,2609,212.851,0,0.1405,108.36,1.0,0
14,43929979,13,808978,0,1,198,4960844,49547,981,3137855.714,1,0.1141,45605.03,0.93,0
8,17,6,9,1,0,5,2,0,21,2.571,0,0.1176,0.7,0.66,1
10,18,29,9,1,1,33,4,2,49,0.633,0,0.3333,0.42,0.97,1
16,13,29,4,1,1,8,0,2,85,0.467,0,0.1538,0.14,1.0,1
5,103819079,87,754378,0,1,239,11750791,93483,2566,1179762.273,1,0.1141,47724.0,0.33,0
16,14,28,5,1,1,18,4,1,61,0.517,0,0.3571,0.19,1.0,1
11,47384406,25,279948,0,1,242,5684920,112294,3599,1822477.192,1,0.1223,11303.94,0.73,0
6,15,23,7,1,0,43,1,0,47,0.667,0,0.0667,0.37,0.66,1
5,26713,201,421,1,0,16,0,0,246,132.248,0,0.0,103.17,0.33,0
20,2,11,5,0,1,20,0,2,78,0.25,0,1.0,0.03,1.0,1
20,5020539,100,412023,0,1,143,130254,1752,3225,49708.317,1,0.0263,1357.45,1.0,0
4,24281811,93,566363,0,1,117,2488489,23543,1192,258317.149,1,0.1035,19497.99,0.27,0
8,475359,227,63,0,1,33,17026,190,2501,2084.912,0,0.0362,191.2,0.53,0
19,2200852,42,843020,0,1,171,182024,1316,4458,51182.628,1,0.0833,422.55,1.0,0
19,17,3,1,0,1,14,0,2,36,4.5,0,0.1176,0.43,1.0,1
18,216734750,64,890080,0,1,170,28015558,505435,1106,3334380.785,1,0.1316,181903.07,1.0,0
5,17,17,8,1,1,0,0,1,70,1.0,0,0.0588,0.2,0.44,1
5,590709,496,169,0,1,105,13941,233,888,1188.551,0,0.024,762.29,0.33,0
11,818119,1598,143,0,1,188,17326,272,511,511.645,0,0.0215,1295.63,0.73,0
14,10,13,4,0,0,0,0,1,88,0.786,0,0.1,0.11,1.0,1
13,99324041,36,726597,0,1,220,1646512,17656,2506,2684433.568,1,0.0168,47019.72,0.87,0
3,4986691,82,534151,0,1,152,524263,9255,2156,60080.627,1,0.107,1957.06,0.2,0
7,11,27,0,0,1,2,0,0,22,0.429,0,0.0,0.52,0.64,1
5,13,4,0,1,0,33,3,2,49,2.8,0,0.3846,0.24,0.61,1
4,702829,74,246,0,1,152,15116,314,2185,9371.067,0,0.022,384.21,0.27,0
7,525177,513,102,0,1,169,42879,983,3963,1021.747,0,0.0835,107.34,0.47,0
9,13,4,4,1,1,48,1,0,77,2.8,0,0.0769,0.2,0.71,1
11,6,2,2,0,0,42,2,2,48,2.333,0,0.6667,0.12,0.9,1
9,2,19,3,0,0,40,2,0,60,0.15,0,1.0,0.03,0.7,1
7,25415,53,58,1,1,131,0,0,272,470.667,0,0.0,90.16,0.47,0
9,588188,685,54,0,1,89,52495,2453,884,857.418,0,0.0934,609.69,0.6,0
14,1193,162,170,1,1,21,0,0,679,7.325,0,0.0,1.95,0.93,0
5,15580,128,483,1,0,55,0,0,2134,120.783,0,0.0,7.81,0.33,0
12,890574,2929,27,0,1,173,91696,3442,1611,303.951,0,0.1068,502.71,0.8,0
18,9,27,6,0,1,37,2,1,37,0.357,0,0.3333,0.28,1.0,1
19,58741089,59,959176,0,1,64,5212333,101728,3082,979018.167,1,0.0905,16269.82,1.0,0
17,4750,285,493,1,1,66,0,0,1782,16.612,0,0.0,3.09,1.0,0
6,2627077,77,784257,0,1,233,68394,1182,2074,33680.487,1,0.0265,1306.54,0.4,0
6,554403,837,54,0,1,169,24776,1050,399,661.58,0,0.0466,1608.07,0.4,0
18,20,0,3,1,1,18,5,0,45,21.0,0,0.25,0.39,1.0,1
12,9,2,8,0,0,41,3,2,48,3.333,0,0.5556,0.21,0.99,1
5,489100,2377,54,0,1,164,13533,184,2196,205.677,0,0.028,243.17,0.33,0
12,15,29,0,1,0,24,2,0,52,0.533,0,0.1333,0.24,0.95,1
3,963318,1830,186,0,1,42,119683,3640,2686,526.116,0,0.128,408.52,0.2,0
18,7431,270,347,1,1,11,0,0,1999,27.424,0,0.0,4.39,1.0,0
11,16,0,5,0,0,14,1,2,78,17.0,0,0.1875,0.21,1.0,1
15,630994,2365,298,0,1,111,61213,1092,693,266.693,0,0.0987,817.61,1.0,0
8,18,14,7,0,0,25,2,1,14,1.267,0,0.1667,1.29,0.63,1
12,3,12,2,1,1,7,5,2,56,0.308,0,2.3333,0.06,1.0,1
18,12,13,0,0,1,9,2,2,79,0.929,0,0.3333,0.17,1.0,1
16,947680,895,76,0,1,72,155883,5704,1568,1057.68,0,0.1705,521.9,1.0,0
18,0,4,5,0,1,0,3,2,60,0.2,0,0.0,0.0,1.0,1
8,5,12,6,0,1,42,3,2,28,0.462,0,1.0,0.18,0.74,1
15,3,10,9,1,0,46,1,1,83,0.364,0,0.6667,0.04,1.0,1
15,18,8,9,1,1,39,1,0,82,2.111,0,0.0556,0.2,1.0,1
18,9677,184,226,1,1,14,0,0,1298,52.314,0,0.0,7.48,1.0,0
7,4323,104,107,1,0,65,0,0,2879,41.181,0,0.0,1.29,0.47,0
13,29149,222,322,1,0,120,0,0,1123,130.717,0,0.0,21.31,0.87,0
16,657433,826,116,0,1,158,18774,348,1918,794.963,0,0.0291,323.11,1.0,0
11,572455,1785,253,0,1,194,101032,4796,1309,320.524,0,0.1849,413.36,0.73,0
9,10,15,5,0,0,2,3,0,85,0.688,0,0.3,0.1,0.75,1
5,9375,269,173,1,0,47,0,0,856,34.726,0,0.0,9.25,0.33,0
14,410596,1128,263,0,1,171,63421,1355,1847,363.682,0,0.1578,183.31,0.93,0
13,27991,190,314,1,1,84,0,0,2198,146.555,0,0.0,13.3,0.87,0
16,490194,1147,282,0,1,177,91790,3585,3792,426.999,0,0.1946,106.51,1.0,0
4,921182,2889,79,0,1,111,53585,1435,968,318.748,0,0.0597,1108.5,0.27,0
13,788393,1206,213,0,1,148,119527,4664,1098,653.185,0,0.1575,854.12,0.87,0
16,7,14,10,1,0,41,5,1,12,0.533,0,0.8571,0.52,1.0,1
18,26679,89,123,1,1,37,0,0,2875,296.444,0,0.0,10.2,1.0,0
18,122315,730,88,0,1,199,11857,526,2123,167.327,0,0.1012,59.58,1.0,0
4,15802402,73,682592,0,1,244,1678253,12485,1101,213545.986,1,0.107,13175.32,0.27,0
19,3,28,10,1,0,32,5,1,94,0.138,0,2.0,0.04,1.0,1
13,1839322,55,617477,0,1,152,153316,1676,2070,32845.054,1,0.0843,789.6,0.87,0
5,13,13,0,0,0,40,0,1,97,1.0,0,0.0769,0.13,0.6,1
4,29976,276,306,1,1,133,0,0,725,108.22,0,0.0,36.37,0.27,0
11,24952,211,350,1,1,23,0,0,2128,117.703,0,0.0,9.84,0.73,0
5,381960,2590,132,0,1,102,50940,1607,3253,147.418,0,0.1376,112.13,0.33,0
13,14,7,10,1,1,18,3,1,39,1.875,0,0.2857,0.42,1.0,1
18,783239,2999,79,0,1,62,5416,144,2447,261.08,0,0.0071,275.31,1.0,0
15,5830,279,145,1,1,67,0,0,1415,20.825,0,0.0,3.88,1.0,0
12,370625,1709,150,0,1,83,66785,1681,3228,216.74,0,0.1847,132.16,0.8,0
7,434849,766,294,0,1,138,19070,825,3209,566.949,0,0.0458,124.1,0.47,0
17,16,12,2,1,0,32,5,2,80,1.308,0,0.4375,0.2,1.0,1
12,29479,71,236,1,1,13,0,0,1394,409.444,0,0.0,24.67,0.8,0
3,422256,460,279,0,1,55,51786,1300,3276,915.959,0,0.1257,104.18,0.2,0
13,12,21,4,0,1,19,2,0,65,0.591,0,0.1667,0.17,1.0,1
20,8,26,5,0,1,44,5,1,62,0.333,0,0.75,0.13,1.0,1
19,1350359,61,916579,0,1,145,118339,773,4264,21780.0,1,0.0882,361.17,1.0,0
9,1261971,97,511330,0,1,109,23725,250,975,12877.265,1,0.019,1303.59,0.6,0
18,28272,145,10,1,0,10,0,0,1658,193.651,0,0.0,16.77,1.0,0
8,301645385,50,791646,0,1,102,20467225,342965,2776,5914615.412,1,0.069,103020.72,0.53,0
5,171946,1786,222,0,1,55,5675,125,3722,96.221,0,0.0337,55.22,0.33,0
16,688265,755,60,0,1,118,134196,3544,2676,910.405,0,0.2001,271.23,1.0,0
12,200865840,40,603728,0,1,159,18133355,283650,2510,4899166.854,1,0.0917,67707.74,0.8,0
8,0,12,6,0,0,30,2,0,14,0.077,0,0.0,0.0,0.78,1
9,716714,867,138,0,1,54,45659,612,2005,825.709,0,0.0646,367.0,0.6,0
7,13,7,7,1,0,37,1,2,43,1.75,0,0.2308,0.35,0.67,1
14,2876,202,404,1,1,120,0,0,1085,14.172,0,0.0,2.29,0.93,0
15,1,17,1,1,0,44,3,2,16,0.111,0,5.0,0.06,1.0,1
12,16656,218,289,1,0,26,0,0,1235,76.059,0,0.0,13.89,0.8,0
12,18529,86,292,1,0,18,0,0,2059,212.989,0,0.0,9.43,0.8,0
12,7919814,86,768578,0,1,134,1052575,12570,2269,91032.356,1,0.1345,3472.25,0.8,0
20,12,18,5,0,1,43,0,2,74,0.684,0,0.1667,0.17,1.0,1
16,13,19,8,1,0,14,4,2,97,0.7,0,0.4615,0.11,1.0,1
7,26372,247,300,1,0,145,0,0,2157,106.343,0,0.0,14.11,0.47,0
5,649138,968,80,0,1,176,79140,3109,2839,669.906,0,0.1267,269.39,0.33,0
14,483154,1902,237,0,1,119,34241,1253,2198,253.891,0,0.0735,187.56,0.93,0
13,1,4,4,1,0,11,3,2,60,0.4,0,5.0,0.02,1.0,1
13,6344,176,322,1,0,115,0,0,1567,35.847,0,0.0,4.0,0.87,0
13,21031,77,289,1,0,62,0,0,1885,269.641,0,0.0,11.7,0.87,0
12,820955,555,99,0,1,154,98367,4158,3283,1476.54,0,0.1249,209.61,0.8,0
18,20,9,10,1,0,17,4,1,55,2.1,0,0.25,0.33,1.0,1
14,20,11,0,0,0,2,2,2,15,1.75,0,0.2,1.23,1.0,1
14,800881,95,149,0,1,59,31793,1226,2104,8342.521,0,0.0412,440.44,0.93,0
10,2,8,6,1,0,5,3,1,68,0.333,0,2.0,0.03,0.93,1
6,13,9,3,1,0,43,2,2,32,1.4,0,0.3077,0.45,0.61,1
9,7930,76,323,1,1,60,0,0,2067,103.0,0,0.0,3.28,0.6,0
7,2,6,7,1,0,39,4,0,82,0.429,0,2.0,0.03,0.76,1
11,157890,1624,204,0,1,25,7105,262,2517,97.164,0,0.0467,61.14,0.73,0
9,8,17,5,0,1,39,2,0,73,0.5,0,0.25,0.11,0.89,1
7,24393740,32,321550,0,1,197,1419956,22126,3813,739204.273,1,0.0591,7305.96,0.47,0
6,2,29,0,1,0,3,4,2,14,0.1,0,3.0,0.15,0.51,1
10,42392757,98,578117,0,1,234,5560612,63674,4437,428209.677,1,0.1327,9224.99,0.67,0
17,12,12,2,0,1,49,3,0,79,1.0,0,0.25,0.17,1.0,1
3,10468,170,221,1,0,57,0,0,656,61.222,0,0.0,13.84,0.2,0
6,2140,66,277,1,1,86,0,0,2617,31.955,0,0.0,0.97,0.4,0
13,6,11,10,1,0,2,3,2,32,0.583,0,0.8333,0.17,1.0,1
9,524168,1279,260,0,1,100,25936,436,2536,409.507,0,0.0503,222.47,0.6,0
6,470411,2261,93,0,1,156,86783,2272,1535,207.963,0,0.1893,306.39,0.4,0
19,4,7,8,1,0,34,5,1,100,0.625,0,1.5,0.05,1.0,1
18,41617330,19,522585,0,1,233,2116683,32980,2501,2080866.55,1,0.0517,19836.84,1.0,0
9,856726,1861,122,0,1,103,101457,4292,1400,460.111,0,0.1234,673.85,0.6,0
13,2,1,3,0,0,16,0,0,20,1.5,0,0.0,0.11,1.0,1
6,471145,577,124,0,1,38,12946,596,2911,815.131,0,0.0287,161.11,0.4,0
14,16,20,2,1,0,22,0,1,26,0.81,0,0.0625,0.55,1.0,1
5,9658,128,491,1,1,15,0,0,2788,74.876,0,0.0,3.42,0.33,0
10,16,27,7,0,0,17,4,0,69,0.607,0,0.25,0.25,0.91,1
13,13,3,1,0,0,19,2,1,61,3.5,0,0.2308,0.23,0.99,1
11,0,10,8,1,1,13,2,1,57,0.091,0,0.0,0.0,0.84,1
9,1810,262,208,1,1,55,0,0,2628,6.886,0,0.0,0.79,0.6,0
18,799249,602,256,0,1,163,65608,2155,1111,1325.456,0,0.0848,737.0,1.0,0
8,10,11,2,0,1,14,3,2,82,0.917,0,0.5,0.1,0.67,1
12,11,17,10,0,1,6,2,1,71,0.667,0,0.2727,0.16,0.92,1
18,14892,274,358,1,1,25,0,0,1699,54.156,0,0.0,7.84,1.0,0
16,18421,267,202,1,1,88,0,0,1316,68.739,0,0.0,13.98,1.0,0
14,0,20,7,1,0,25,0,1,44,0.048,0,0.0,0.0,1.0,1
14,365711,2137,260,0,1,182,51495,1855,3120,171.053,0,0.1459,137.21,0.93,0
15,8369,194,284,1,0,140,0,0,436,42.923,0,0.0,17.91,1.0,0
10,857788,1292,194,0,1,138,99104,4496,522,663.41,0,0.1208,1480.48,0.67,0
12,723620,454,149,0,1,188,108939,1177,2415,1590.376,0,0.1522,307.68,0.8,0
12,8,22,2,1,1,44,0,2,39,0.391,0,0.25,0.18,1.0,1
14,183320,2174,87,0,1,191,32341,464,1043,84.286,0,0.1789,152.03,0.93,0
7,691642,378,180,0,1,161,121070,5697,428,1824.916,0,0.1833,1299.69,0.47,0
14,21261038,2,709622,0,1,51,2077972,18145,3640,7087013.0,1,0.0986,5401.92,0.93,0
13,6,22,4,0,1,22,4,1,60,0.304,0,0.8333,0.09,1.0,1
8,8286427,66,279677,0,1,71,926351,5728,3267,123678.03,1,0.1125,2582.54,0.53,0
11,7,12,5,0,1,0,1,2,15,0.615,0,0.4286,0.48,0.94,1
13,20,5,1,0,0,9,4,1,38,3.5,0,0.25,0.51,1.0,1
19,16,20,3,0,0,30,2,1,49,0.81,0,0.1875,0.33,1.0,1
8,666883,2099,114,0,1,56,105030,3308,1829,317.564,0,0.1625,353.5,0.53,0
16,1887,130,466,1,0,11,0,0,2411,14.412,0,0.0,0.94,1.0,0
6,11,27,0,0,1,30,3,1,24,0.429,0,0.3636,0.39,0.62,1
6,159740,253,283,0,1,25,9586,143,1061,628.902,0,0.0609,146.85,0.4,0
14,26536,153,39,1,1,30,0,0,2943,172.318,0,0.0,10.27,0.93,0
10,11575,244,296,1,1,146,0,0,2684,47.249,0,0.0,4.38,0.67,0
13,5,19,9,1,1,3,4,2,38,0.3,0,1.2,0.11,1.0,1
5,13738,71,453,1,0,112,0,0,1480,190.819,0,0.0,7.95,0.33,0
11,7,12,10,1,0,10,4,2,29,0.615,0,0.8571,0.19,0.87,1
18,20,20,1,1,1,49,1,0,34,1.0,0,0.05,0.52,1.0,1
17,6842,85,9,1,1,87,0,0,1000,79.57,0,0.0,7.43,1.0,0
7,179122,772,201,0,1,67,7812,134,3183,231.724,0,0.0444,66.37,0.47,0
9,17,4,10,1,1,8,1,2,63,3.6,0,0.1765,0.29,0.89,1
10,17,17,2,1,0,24,4,0,71,1.0,0,0.2353,0.19,0.96,1
5,26220,119,479,1,1,27,0,0,1558,218.508,0,0.0,16.35,0.33,0
12,51890,827,159,0,1,132,8087,173,1930,62.67,0,0.1592,23.3,0.8,0
18,57305,309,200,0,1,108,5889,254,2153,184.858,0,0.1072,26.3,1.0,0
18,575602,1962,96,0,1,134,77254,1516,773,293.226,0,0.1368,658.75,1.0,0
5,14,15,2,1,1,38,4,2,92,0.938,0,0.4286,0.14,0.6,1
8,91903561,38,263166,0,1,193,11964950,68387,1205,2356501.59,1,0.1309,62846.37,0.53,0
7,8285,128,397,1,1,78,0,0,1682,64.233,0,0.0,4.41,0.47,0
7,311397014,17,534278,0,1,176,7077218,40387,1249,17299834.167,1,0.0229,262026.85,0.47,0
12,8,13,0,1,1,10,3,2,18,0.643,0,0.625,0.51,0.96,1
11,2,25,2,1,0,43,1,0,26,0.115,0,0.5,0.07,0.96,1
4,137602233,12,718988,0,1,144,11864782,233352,2269,10584787.231,1,0.0879,58173.53,0.27,0
3,92300235,70,643853,0,1,228,9768966,56472,2393,1300003.324,1,0.1065,43266.85,0.2,0
